model,rank,radius,predicted_ratio,observed_ratio,ci_low,ci_high,second_moment,centered_variance,conditional_reference,realized_linearized_second_moment,nonlinear_bias_relative
resnet18,1,0.0,1.0,1.0,1.0,1.0,4.427221465629242,4.262278472492613,4.679635370834083,4.423606751210609,0.0007724350579025225
resnet18,1,0.25,1.2999216416381338,1.2986591072381093,1.2985739275134605,1.2987418290492931,5.749451476099465,5.535290110981206,6.083159293522518,5.750342149995223,-0.00014641633611471697
resnet18,1,0.5,1.7307673907793932,1.7269030711262014,1.7266144980459,1.7271829331630262,7.645382345550981,7.360683188177199,8.099360300577464,7.656234314626895,-0.0013398550840043506
resnet18,1,1.0,3.2682632146568498,3.24958792425435,3.247803348645684,3.251386070391372,14.386645412708429,13.851441363172604,15.294280140504098,14.457511221089321,-0.0046334843961185574
resnet18,8,0.0,1.0,1.0,1.0,1.0,3.3805323473445346,3.3776147543222037,3.7282449406518605,3.3803243899021282,5.57789109129554e-05
resnet18,8,0.25,1.2673484193359514,1.2671039508301036,1.2670532748546757,1.267144854288493,4.283485893229224,4.279789296166489,4.724985332432394,4.284048772385228,-0.00011912823350810897
resnet18,8,0.5,1.5650218526590902,1.5643540901996091,1.5642105390325887,1.5644692278261485,5.2883496046205085,5.283786219685367,5.834784804185855,5.290281539273338,-0.00033110641054741655
resnet18,8,1.0,2.213853074448167,2.2116983812387714,2.211167973105161,2.212102161020897,7.476717920347211,7.47026725170863,8.253786524157945,7.483541543216955,-0.0008267263576264628
resnet18,32,0.0,1.0,1.0,1.0,1.0,1.204394603031808,1.1929265820467903,1.2415006604498076,1.2043692033971218,2.0458816894364476e-05
resnet18,32,0.25,1.265166432306535,1.264997342887277,1.264948393550284,1.265042107832211,1.523555972623014,1.5090530041306236,1.57070496128749,1.5237274882418004,-0.000109196585618568
resnet18,32,0.5,1.554570775260607,1.554109032121729,1.553971382516542,1.5542335221571921,1.8717605308103973,1.853948845355807,1.930000644202013,1.8722771662250635,-0.00026768665400116615
resnet18,32,1.0,2.161241841397634,2.1597261957648053,2.159246588803474,2.160156426795378,2.6011625742055493,2.5764286302339237,2.6831831734869214,2.6029331148725987,-0.0006598657462316533
vit_b_16,1,0.0,1.0,1.0,1.0,1.0,10.645513426159967,10.473455870456595,10.830700184012482,10.635629378568177,0.0009125954392475284
vit_b_16,1,0.25,1.2912909193000646,1.2890550960343459,1.2889137344836485,1.2891912105940426,13.722653331893556,13.500909798224278,13.985584797276857,13.73369163758609,-0.0007892630771281692
vit_b_16,1,0.5,1.6850086691178627,1.6784743554302939,1.678038455848795,1.6788923791421408,17.86822128619839,17.57955894747196,18.249823702677464,17.92112770441202,-0.002899009824728619
vit_b_16,1,1.0,2.9298217450374184,2.903521591153116,2.9014894537142712,2.9054087889377174,30.909478081765847,30.410350894999294,31.732020913100538,31.160498225487878,-0.007910625812628264
vit_b_16,8,0.0,1.0,1.0,1.0,1.0,8.108200733123898,8.129054426074967,7.0090515354220155,8.106626436174912,0.00022460912735906857
vit_b_16,8,0.25,1.2707877792905031,1.2701044151068408,1.2700126597352728,1.2701832733258023,10.298261549713185,10.32472317080158,8.907017035631634,10.301801806364407,-0.0003974682699111582
vit_b_16,8,0.5,1.5816548016198169,1.579801650994154,1.5795468310442873,1.5800176165859454,12.809348904781142,12.84222326211145,11.08590001580098,12.821884627714194,-0.0011307808040104995
vit_b_16,8,1.0,2.300470849802189,2.2947935159570605,2.293961340929878,2.2955071709345183,18.606646468451004,18.654256198766934,16.12411874199962,18.649057806656195,-0.0026303042593404163
vit_b_16,32,0.0,1.0,1.0,1.0,1.0,2.40960157906886,2.4174470054761588,2.5009768873458866,2.409442499980529,6.360678066857782e-05
vit_b_16,32,0.25,1.2662368697691673,1.2658778839803964,1.2657942837681437,1.265956590557238,3.05026134814751,3.0601893345732987,3.166829145197891,3.050924929064142,-0.00020954111706278212
vit_b_16,32,0.5,1.5596881071859146,1.5587265297615898,1.5584988702062081,1.5589400230412798,3.755909907450051,3.768129423486333,3.9007439075402264,3.7579788121679303,-0.0005303872202118353
vit_b_16,32,1.0,2.1868316713751867,2.1839637613150176,2.1832337998380265,2.1846299174386967,5.262482527893833,5.279584630036069,5.469215466625317,5.269045169314829,-0.0011999237296542922
