model,pair,radius,logloss,logloss_ci_low,logloss_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,score_variance,variance_ci_low,variance_ci_high
resnet18,3_5,0.0,0.6354469120429674,0.6344542138456204,0.6364098403259287,0.776,0.7621625,0.7886708333333335,0.0073359511370786334,0.004515241039736549,0.009829267854800683
resnet18,3_5,0.25,0.6290887414259158,0.6279682551793708,0.6301871266165858,0.7761666666666667,0.7623291666666665,0.7886666666666667,0.009239262143141963,0.005689069818697758,0.012368800269829798
resnet18,3_5,0.5,0.6228970788932365,0.6216206980084727,0.624168870235061,0.7753333333333334,0.7613333333333334,0.7880083333333334,0.011789735653444162,0.007231178480344202,0.01578049900806607
resnet18,3_5,1.0,0.6116432264469795,0.6099190516820804,0.6133426529157675,0.7695,0.7534958333333335,0.7839999999999999,0.019936578467770253,0.012079082623809013,0.026836743509875246
resnet18,1_9,0.0,0.5843374062639711,0.5834394355977227,0.5851472759679597,0.9066666666666665,0.8976666666666666,0.9138333333333333,0.003945252587193766,0.002283009785607017,0.005710504916542992
resnet18,1_9,0.25,0.5725290437963453,0.5715594827778224,0.5734172149293477,0.9066666666666666,0.8976666666666666,0.9139999999999999,0.004862199155314122,0.0028220930120906886,0.007030983541000518
resnet18,1_9,0.5,0.5609246710461157,0.5598796270501016,0.5619006799816718,0.9065,0.8975000000000001,0.9138333333333334,0.006065523026825734,0.003520413496049347,0.008775131437193114
resnet18,1_9,1.0,0.5391613055778256,0.5379077095156062,0.5403709445549663,0.9053333333333333,0.8953333333333334,0.9131666666666666,0.009794101715100001,0.005622902070681403,0.01423841500688779
resnet18,0_8,0.0,0.5741989363745442,0.5732250566094026,0.5752001775704038,0.8746666666666666,0.8651666666666668,0.8835041666666666,0.005407079659343625,0.0035674532315331845,0.007050269913910978
resnet18,0_8,0.25,0.5618126194668478,0.5607663863371002,0.5628910630364513,0.8746666666666666,0.8653333333333333,0.8836666666666667,0.006663508818699954,0.004405074685380843,0.008682096548444254
resnet18,0_8,0.5,0.5496829219173588,0.5485457252422593,0.5508295200371232,0.8746666666666666,0.8651666666666669,0.8836666666666668,0.008290091159823973,0.005480607831777841,0.010803887527765246
resnet18,0_8,1.0,0.5270038206147958,0.5257213411244758,0.5283150406715637,0.8733333333333333,0.8636624999999998,0.8826666666666667,0.013192467431717021,0.00868210090373907,0.017232291110720166
vit_b_16,3_5,0.0,0.46331163493451427,0.4620997384293469,0.4644908537354167,0.9070000000000001,0.9041666666666667,0.9098333333333335,0.006022372629514148,0.004318001765189663,0.007468645539709861
vit_b_16,3_5,0.25,0.44490873979474943,0.44367878338012146,0.4460836197741377,0.9065000000000001,0.9038333333333334,0.909004166666667,0.007297325313153287,0.005259785793168272,0.009019911647303817
vit_b_16,3_5,0.5,0.4272142209293984,0.42597762821125945,0.42838408218406754,0.9060000000000001,0.9031666666666669,0.9085000000000002,0.008806820445187364,0.006358443996034776,0.010872585961413574
vit_b_16,3_5,1.0,0.3945876767915218,0.39335217868381184,0.39575133515080446,0.9056666666666667,0.9030000000000001,0.9081666666666668,0.012667480007764203,0.00909523880640458,0.015679006686321394
vit_b_16,1_9,0.0,0.36025122886821936,0.359522164352813,0.3609477699601815,0.9694999999999999,0.9681666666666666,0.9708333333333333,0.003317468495281151,0.002447273837455187,0.004040897440145561
vit_b_16,1_9,0.25,0.33744760612875696,0.33673561009288844,0.33813942267036834,0.9696666666666667,0.9683333333333334,0.971,0.00391700480844416,0.0029149160610296297,0.004742460001448665
vit_b_16,1_9,0.5,0.3158988088986968,0.315193950699067,0.3165809324360679,0.9696666666666667,0.9683333333333334,0.971,0.004603161227071364,0.0034481112413232906,0.005552608820103122
vit_b_16,1_9,1.0,0.27705160823131364,0.27634565243944464,0.27770850851444917,0.9698333333333334,0.9685,0.9711666666666666,0.006259562323667499,0.004721183392670165,0.007530019996699553
vit_b_16,0_8,0.0,0.3804078789754983,0.3793781813516597,0.38142345452210813,0.9686666666666667,0.967,0.9701666666666667,0.004277902750285828,0.003212637980032256,0.005140065973660463
vit_b_16,0_8,0.25,0.3579237131205334,0.35690297011113475,0.3589375506228837,0.9686666666666667,0.967,0.9701666666666667,0.005070838754869912,0.003828346648461504,0.006088800806581133
vit_b_16,0_8,0.5,0.3365113554500237,0.335485640359227,0.337510117772974,0.9688333333333333,0.9671666666666666,0.9703333333333333,0.005974917443324035,0.0045312440238966705,0.0071650229220848365
vit_b_16,0_8,1.0,0.2974798620529731,0.29645963368742545,0.2984664505032658,0.9688333333333333,0.967333333333333,0.9701666666666668,0.008154396037834962,0.00616603665450673,0.00980574542987805
