delta,epsilon,tau,lambda_match,gamma_match,predicted_delta_l2,observed_delta_l2,centered_delta_l2_error,predicted_probe,observed_probe,probe_absolute_error,samplewise_gradient_residual,control_gradient_residual
0.5,0.08,0.02,0.021276259652063808,1.324360635350064,0.034237638868452706,0.0342101607780899,2.7905640166022685e-05,-0.014116572990041036,-0.014105575868235371,1.099712180566495e-05,1.5520373083984273e-14,2.595079397958399e-18
0.5,0.12,0.02,0.021276259652063808,1.324360635350064,0.034237638868452706,0.03417599317805632,6.260610864650801e-05,-0.014116572990041036,-0.014091899826043619,2.4673163997417438e-05,2.1515027294256836e-18,4.4516391662967635e-18
0.5,0.16,0.02,0.021276259652063808,1.324360635350064,0.034237638868452706,0.0341284925215982,0.00011084994728303892,-0.014116572990041036,-0.014072883924283276,4.368906575775988e-05,2.542141546515565e-18,2.16450018601529e-18
0.5,0.24,0.02,0.021276259652063808,1.324360635350064,0.034237638868452706,0.03399488511201443,0.0002465629258593674,-0.014116572990041036,-0.01401937725095188,9.719573908915577e-05,5.002400733614362e-18,8.623927389678462e-18
1.0,0.08,0.02,0.025430806348152438,1.8591409142295228,0.15270862028256468,0.15220011039594794,0.0005108028335512512,-0.06226189851412592,-0.0620604035062111,0.00020149500791481756,1.806128168503721e-18,2.0781454667819604e-18
1.0,0.12,0.02,0.025430806348152438,1.8591409142295228,0.15270862028256468,0.1515718449514308,0.0011418996203346713,-0.06226189851412592,-0.061811415788242396,0.000450482725883522,1.814497727336007e-18,1.8403155495250627e-18
1.0,0.16,0.02,0.025430806348152438,1.8591409142295228,0.15270862028256468,0.15070571754302006,0.002011927247958383,-0.06226189851412592,-0.06146808790294953,0.0007938106111763862,6.144027464990062e-18,2.394965447304123e-18
1.0,0.24,0.02,0.025430806348152438,1.8591409142295228,0.15270862028256468,0.14831364344973696,0.004414752418594907,-0.06226189851412592,-0.060519436297598296,0.0017424622165276224,1.102829255573892e-17,3.2196048431736147e-18
