delta,epsilon,tau,lambda_match,gamma_match,predicted_delta_l2,observed_delta_l2,centered_delta_l2_error,predicted_probe,observed_probe,probe_absolute_error,samplewise_gradient_residual,control_gradient_residual
0.5,0.08,0.02,0.021276259652063808,1.324360635350064,0.034237638868452554,0.03421016077812089,2.790564013529186e-05,-0.014116572990040963,-0.014105575868249547,1.0997121791415931e-05,1.5521505565340333e-14,2.200517455795374e-18
0.5,0.12,0.02,0.021276259652063808,1.324360635350064,0.034237638868452554,0.03417599317805062,6.260610865243208e-05,-0.014116572990040963,-0.01409189982604251,2.4673163998453068e-05,2.4322722715464967e-18,4.0337711890485364e-18
0.5,0.16,0.02,0.021276259652063808,1.324360635350064,0.034237638868452554,0.03412849252159862,0.00011084994728261182,-0.014116572990040963,-0.014072883924284012,4.36890657569515e-05,2.8464881191798586e-18,2.42924262213505e-18
0.5,0.24,0.02,0.021276259652063808,1.324360635350064,0.034237638868452554,0.03399488511201759,0.00024656292585623166,-0.014116572990040963,-0.014019377250953584,9.719573908737941e-05,4.84703223876986e-18,2.771970024909257e-18
1.0,0.08,0.02,0.025430806348152438,1.8591409142295228,0.15270862028256368,0.1522001103960102,0.0005108028334895803,-0.062261898514125454,-0.06206040350624002,0.00020149500788543134,3.729162357085844e-18,1.237325912074137e-18
1.0,0.12,0.02,0.025430806348152438,1.8591409142295228,0.15270862028256368,0.1515718449514191,0.001141899620345817,-0.062261898514125454,-0.06181141578823777,0.00045048272588768534,3.730830938687154e-18,3.658983937181672e-18
1.0,0.16,0.02,0.025430806348152438,1.8591409142295228,0.15270862028256368,0.15070571754303405,0.0020119272479434216,-0.062261898514125454,-0.06146808790295474,0.0007938106111707102,2.5560338898917194e-18,2.9182384527263028e-18
1.0,0.24,0.02,0.025430806348152438,1.8591409142295228,0.15270862028256368,0.14831364344973497,0.0044147524185958135,-0.062261898514125454,-0.06051943629759732,0.0017424622165281359,5.224893671552233e-18,4.7314035444696176e-18
