radius,epsilon,samplewise_cubic_truncation_remainder,matched_cubic_truncation_remainder,matched_difference_normalized_uncentered,matched_difference_centered_remainder,predicted_matched_difference_norm,samplewise_c3_residual,predicted_samplewise_c3,predicted_matched_c3,lambda_match,gamma_match
0.0,0.025,2.3986095225108614e-10,2.3986095225108614e-10,0.0,0.0,0.0,1.9076089675853364e-07,0.0039376670858303165,0.0039376670858303165,0.02,1.0
0.0,0.05,7.677420424849157e-09,7.677420424849157e-09,0.0,0.0,0.0,7.629984754243743e-07,0.0039376670858303165,0.0039376670858303165,0.02,1.0
0.0,0.1,2.459595413385243e-07,2.459595413385243e-07,0.0,0.0,0.0,3.05132263188259e-06,0.0039376670858303165,0.0039376670858303165,0.02,1.0
0.0,0.2,7.907034593214136e-06,7.907034593214136e-06,0.0,0.0,0.0,1.2194015162781714e-05,0.0039376670858303165,0.0039376670858303165,0.02,1.0
0.005,0.025,2.39109912232791e-10,2.404595671240805e-10,0.0006357616306328372,8.637791723399879e-08,0.0006356752579205849,1.9019960609267805e-07,0.0039300401022529016,0.003947497427166226,0.020000125000260417,1.0025062604297006
0.005,0.05,7.65337660466287e-09,7.69658141165132e-09,0.0006360208755582523,3.4563847268523523e-07,0.0006356752579150847,7.607533664515109e-07,0.0039300401022529016,0.003947497427166226,0.020000125000260417,1.0025062604297006
0.005,0.1,2.451888943797466e-07,2.465733949291466e-07,0.0006370596750189413,1.3845006175601044e-06,0.0006356752579162998,3.042344961496843e-06,0.0039300401022529016,0.003947497427166226,0.020000125000260417,1.0025062604297006
0.005,0.2,7.88221395766231e-06,7.926768278560965e-06,0.0006412442110833003,5.569290402222614e-06,0.0006356752579169139,1.2158152058593108e-05,0.0039300401022529016,0.003947497427166226,0.020000125000260417,1.0025062604297006
0.02,0.025,2.3696150082688323e-10,2.4224310732877064e-10,0.0026037545552171837,3.3802311133793694e-07,0.002603416556339486,1.890501605344118e-07,0.003905328223406094,0.003976819897236683,0.020002000066667556,1.010100670013378
0.02,0.05,7.584596925573033e-09,7.753667891939336e-09,0.0026047690282748025,1.352568912976529e-06,0.0026034165563426615,7.561560281007899e-07,0.003905328223406094,0.003976819897236683,0.020002000066667556,1.010100670013378
0.02,0.1,2.4298431208049713e-07,2.4840222533325357e-07,0.00260883408566034,5.417917990757281e-06,0.0026034165563409667,3.0239600747653493e-06,0.003905328223406094,0.003976819897236683,0.020002000066667556,1.010100670013378
0.02,0.2,7.81120072802765e-06,7.985556464208983e-06,0.0026252094757142296,2.1794486134154374e-05,0.0026034165563405477,1.2084692781445371e-05,0.003905328223406094,0.003976819897236683,0.020002000066667556,1.010100670013378
0.1,0.025,2.294335821592257e-10,2.514181469367159e-10,0.01478525562087922,1.4070786999415275e-06,0.014783848821681754,2.0018492852833317e-07,0.003723358172183572,0.004128602399213191,0.020050041680558035,1.0525854590378239
0.1,0.05,7.343534641884048e-09,8.047331450552303e-09,0.014789478343120164,5.630639345790657e-06,0.014783848821683918,8.006758811054428e-07,0.003723358172183572,0.004128602399213191,0.020050041680558035,1.0525854590378239
0.1,0.1,2.352505811029202e-07,2.5780931795216547e-07,0.014806404144832806,2.2559793109740665e-05,0.014783848821685272,3.2017320025922065e-06,0.003723358172183572,0.004128602399213191,0.020050041680558035,1.0525854590378239
0.1,0.2,7.561189639705664e-06,8.287852878600387e-06,0.014874668050433295,9.083708316300891e-05,0.01478384882168611,1.279092590533758e-05,0.003723358172183572,0.004128602399213191,0.020050041680558035,1.0525854590378239
0.25,0.025,2.535426660569194e-10,2.6681762722334546e-10,0.047196112520105936,8.572717537385378e-07,0.047195263773622535,3.543115108159932e-07,0.00310755803994936,0.004388604089529629,0.020314130998795733,1.1420127083438707
0.25,0.05,8.114078433401605e-09,8.540181532359978e-09,0.04719866919266811,3.4393991541520748e-06,0.04719526377362162,1.4167491430914884e-06,0.00310755803994936,0.004388604089529629,0.020314130998795733,1.1420127083438707
0.25,0.1,2.5979122738827014e-07,2.735931849398398e-07,0.047209052115552715,1.3922358458904039e-05,0.04719526377362344,5.659114654129379e-06,0.00310755803994936,0.004388604089529629,0.020314130998795733,1.1420127083438707
0.25,0.2,8.331679774334413e-06,8.794566144034023e-06,0.04725307022848662,5.831401092260648e-05,0.04719526377362402,2.2511368948752424e-05,0.00310755803994936,0.004388604089529629,0.020314130998795733,1.1420127083438707
0.5,0.025,6.316977373256178e-10,2.8558843961875594e-10,0.14373260868055562,2.21568530549746e-05,0.14375475934572357,1.5256827183824208e-06,0.0009609566927787932,0.004730464542700864,0.021276259652063808,1.324360635350064
0.5,0.05,2.0198630649411792e-08,9.140783476709778e-09,0.1436662978763104,8.848621301617697e-05,0.1437547593457371,6.095446353899495e-06,0.0009609566927787932,0.004730464542700864,0.021276259652063808,1.324360635350064
