tau,delta,l2_error_slope,relative_error_min,relative_error_max
0.02,0.0,3.0017988271806053,0.00012264354036910653,0.001963716341245656
0.02,0.5,3.0257655089079707,1.601114435904959e-05,0.00026544607260162016
0.02,1.0,2.979891297918828,0.0002483591031240148,0.0038781095513434048
0.08,0.0,3.000066174236237,2.7238209252889548e-05,0.00043567994517826325
0.08,0.5,2.9956237228001847,1.8635845162402818e-05,0.0002964507868965946
0.08,1.0,2.994572608427114,9.50829528148981e-05,0.0015120102433561428
